plate,enzyme,substrate,t_start_min,t_end_min,n_points,slope_RFU_per_min_R1,slope_RFU_per_min_R2,slope_RFU_per_min_R3,R2_R1,R2_R2,R2_R3,slope_RFU_per_min_mean,slope_RFU_per_min_se,slope_uM_per_sec_R1,slope_uM_per_sec_R2,slope_uM_per_sec_R3,slope_uM_per_sec_mean,slope_uM_per_sec_se,std_curve_slope_RFU_per_uM
robot_p,p2,glucose,0,10,3,16964.3,17003.4,17162.7,0.998987,0.999422,0.999487,17043.5,60.6758,0.0425009,0.0425989,0.042998,0.0426993,0.000152012,6652.53
robot_p,p2,xylose,0,60,13,46.3264,45.7286,47.4824,0.997166,0.995386,0.995503,46.5125,0.51477,0.000116062,0.000114564,0.000118958,0.000116528,1.28966e-06,6652.53
robot_p,p2,mannose,0,60,13,8.81758,9.28132,9.13077,0.938804,0.953118,0.931015,9.07656,0.136586,2.20908e-05,2.32526e-05,2.28754e-05,2.27396e-05,3.4219e-07,6652.53
robot_p,p3,glucose,0,60,13,2411.09,2346.51,2344.3,0.998088,0.998653,0.998903,2367.3,21.9043,0.00604052,0.00587873,0.00587319,0.00593082,5.48772e-05,6652.53
robot_p,p3,xylose,0,60,13,6.80769,4.63187,5.96593,0.897307,0.891059,0.847735,5.80183,0.633443,1.70554e-05,1.16043e-05,1.49465e-05,1.45354e-05,1.58697e-06,6652.53
robot_p,p3,mannose,0,60,13,-0.732967,-1.19121,-1.03187,0.0651793,0.162393,0.241153,-0.985348,0.134312,-1.83631e-06,-2.98435e-06,-2.58515e-06,-2.4686e-06,3.36494e-07,6652.53
robot_p,p4,glucose,0,10,3,31136.8,31111.2,32364.9,0.993787,0.995558,0.993809,31537.7,413.699,0.0780075,0.0779433,0.0810842,0.0790117,0.00103645,6652.53
robot_p,p4,xylose,0,60,13,117.811,110.816,114.252,0.997097,0.997462,0.99567,114.293,2.01925,0.000295153,0.00027763,0.000286236,0.00028634,5.05884e-06,6652.53
robot_p,p4,mannose,0,60,13,42.3363,40.5879,42.3275,0.991152,0.992335,0.993159,41.7505,0.581324,0.000106066,0.000101685,0.000106044,0.000104598,1.4564e-06,6652.53
robot_p,p5,glucose,0,15,4,16330.2,16301.5,16141.9,0.9989,0.999163,0.999069,16257.9,58.5656,0.0409122,0.0408403,0.0404405,0.040731,0.000146725,6652.53
robot_p,p5,xylose,0,60,13,55.8637,53.8429,54.989,0.997381,0.99922,0.997153,54.8985,0.585129,0.000139956,0.000134893,0.000137765,0.000137538,1.46593e-06,6652.53
robot_p,p5,mannose,0,60,13,15.2143,13.6,15.2462,0.964592,0.932777,0.983041,14.6868,0.543484,3.81165e-05,3.40722e-05,3.81964e-05,3.6795e-05,1.3616e-06,6652.53
robot_p,p6,glucose,0,10,3,18214.3,18823.5,18748.4,0.996287,0.996093,0.99729,18595.4,191.779,0.0456326,0.0471588,0.0469707,0.0465874,0.000480467,6652.53
robot_p,p6,xylose,0,60,13,80.7209,79.8319,78.0308,0.998748,0.998569,0.997902,79.5278,0.791307,0.000202231,0.000200004,0.000195491,0.000199242,1.98247e-06,6652.53
robot_p,p6,mannose,0,60,13,16.278,16.6187,17.4176,0.984337,0.974149,0.982063,16.7714,0.337712,4.07815e-05,4.1635e-05,4.36365e-05,4.20177e-05,8.46074e-07,6652.53
